feature,shap_importance
Fault,1.3726987
BasePolicy,1.0316441
PolicyNumber,0.9098484
MonthClaimed,0.41170576
Month,0.3975134
Age,0.22908086
RepNumber,0.19062187
DayOfWeek,0.16098554
Make,0.15129238
PolicyType,0.14373551
VehiclePrice,0.13548683
WeekOfMonthClaimed,0.13354298
WeekOfMonth,0.1295061
DayOfWeekClaimed,0.12529486
NumberOfSuppliments,0.11969954
AgeOfVehicle,0.118236035
Deductible,0.10983936
AddressChange_Claim,0.09342211
DriverRating,0.09123858
PastNumberOfClaims,0.074285366
MaritalStatus,0.056790154
Sex,0.054925773
AccidentArea,0.03413386
Year,0.02166122
AgentType,0.015151777
Days_Policy_Accident,0.009731919
NumberOfCars,0.0094824275
PoliceReportFiled,0.0076941056
Days_Policy_Claim,0.0027380907
WitnessPresent,0.00079735176
VehicleCategory,0.0
AgeOfPolicyHolder,0.0
