feature,mean_importance
RepNumber,-0.002126094042316007
Month,-0.0008502635886205312
Days_Policy_Accident,-0.0007284979879240705
WeekOfMonthClaimed,-0.0007234889892866969
NumberOfCars,-0.0005879910726566961
MonthClaimed,-0.0005686864250514789
NumberOfSuppliments,-0.0005343263394412212
Year,-0.00047548117271650205
PolicyNumber,-0.0003526637552285383
PolicyType,-0.00026703296581949697
MaritalStatus,-6.988492949668856e-05
AgeOfPolicyHolder,4.4236773045597257e-05
WitnessPresent,8.321515938791713e-05
Age,0.00013458842411472326
WeekOfMonth,0.0001955129864347982
DayOfWeek,0.0003334541943404712
AccidentArea,0.00036837635488099483
Days_Policy_Claim,0.000997004023573478
DayOfWeekClaimed,0.001035065392485085
DriverRating,0.0010586477349314894
PastNumberOfClaims,0.0011457199442466647
AgeOfVehicle,0.0013570245725435138
AgentType,0.0013837828228727977
Make,0.0016696691101839244
Sex,0.0019112596765980317
Deductible,0.0019380504357873695
VehiclePrice,0.002473052089219613
PoliceReportFiled,0.0030912072387221713
AddressChange_Claim,0.005774645841216758
VehicleCategory,0.007757449050540705
BasePolicy,0.031497457759529515
Fault,0.052051831179902905
