feature,mean_importance
DayOfWeek,-0.0023720562673135103
Year,-0.00014009524455515233
Days_Policy_Claim,-9.68091639620916e-05
AgeOfPolicyHolder,0.0
VehicleCategory,0.0
PoliceReportFiled,9.425165902687826e-07
WitnessPresent,1.0229001167250117e-05
MaritalStatus,7.64661660232313e-05
NumberOfCars,0.00016661195045570843
DriverRating,0.00021339209874237652
DayOfWeekClaimed,0.00030380975013744873
AgentType,0.00030636484821980337
AccidentArea,0.0004131017807099596
Sex,0.0004287871991581926
PastNumberOfClaims,0.0006110440224281477
Days_Policy_Accident,0.0009716143545301592
WeekOfMonthClaimed,0.0015393431124482216
AgeOfVehicle,0.0015822727869961722
RepNumber,0.0016510395159188313
VehiclePrice,0.0021067371622038285
Make,0.002165150571587554
NumberOfSuppliments,0.002976084492497977
PolicyType,0.0031080232753894683
WeekOfMonth,0.0033400647591311896
Deductible,0.005001251212129451
Age,0.010395047186579767
AddressChange_Claim,0.012317053016487231
MonthClaimed,0.04125049749046281
Month,0.05499310256710369
BasePolicy,0.06871884623681704
Fault,0.10082152578592732
PolicyNumber,0.12543149234998693
