feature,shap_importance
Fault,0.03349825958989168
BasePolicy,0.0320202450359565
PolicyType,0.006374530291479575
AddressChange_Claim,0.004214569941270821
PolicyNumber,0.0034173817340696798
VehiclePrice,0.0023264619527430617
Deductible,0.001512089430832597
Age,0.0012826269174701752
VehicleCategory,0.0010457612286150406
AgeOfPolicyHolder,0.0009227765202908881
Make,0.0008444335868256954
MonthClaimed,0.0006144957733702742
Month,0.0005698627425603757
DayOfWeek,0.000423695824121671
Days_Policy_Claim,0.00041811271713038746
WeekOfMonth,0.00037854113061922483
DayOfWeekClaimed,0.00033998250517430496
Year,0.00025965320260597647
Days_Policy_Accident,0.0002476775821609682
AccidentArea,0.00022930902724468887
RepNumber,0.00021425511539233105
AgeOfVehicle,0.00010849230867931268
PastNumberOfClaims,6.023963770838555e-05
PoliceReportFiled,1.842687501619547e-05
Sex,0.0
WitnessPresent,0.0
AgentType,0.0
NumberOfSuppliments,0.0
DriverRating,0.0
NumberOfCars,0.0
WeekOfMonthClaimed,0.0
MaritalStatus,0.0
